"id","part_number","name","price","currency_id"
231,44070,"Nokia C7-00 - коаксиальный кабель в сборе с внутренней антенной (original)",350,1
232,45872,"Nokia C7-00s Oro - коаксиальный кабель в сборе с внутренней антенной (original)",,1
233,38787,"Nokia E52 - шлейф соединительный с считывателем SIM-карты и FLASH-карты (original)",400,1
234,38014,"Nokia E65 - шлейф видеокамеры в сборе с камерой (original) (F)",600,1
235,33781,"Nokia E65 - шлейф межплатный с разъемами и подклавиатрной мембраной (original)",750,1
236,38013,"Nokia E65 - шлейф соединительный с считывателем SD-карты (original)",300,1
237,35214,"Nokia E66 - шлейф межплатный в сборе с разъемами и подклавиатурной платой (original)",950,1
238,41450,"Nokia E66 - шлейф соединительный в сборе со считывателями Sim-карты и Flash карты (original)",650,1
239,44615,"Nokia E7-00 - коаксиальный кабель (original), цвет: Black",,1
240,44614,"Nokia E7-00 - коаксиальный кабель (original), цвет: White",,1
241,44617,"Nokia E7-00 - шлейф межплатный в сборе с механизмом смещения (original)",5050,1
242,44061,"Nokia E75 - шлейф клавиатуры набора номера с видеокамерой (original)",1200,1
243,36832,"Nokia E75 - шлейф межплатный с разъемами (original)",250,1
244,34894,"Nokia E90 - межплатный соединительный кабель в сборе с шарниром  (original), Black",1550,1
245,34893,"Nokia E90 - межплатный соединительный кабель в сборе с шарниром  (original), цвет: Metallic",1750,1
246,33782,"Nokia N76 - межплатный соединительный кабель (original)",500,1
247,35638,"Nokia N78 - шлейф с боковыми микровыключателями (original)",350,1
248,31958,"Nokia N80 - шлейф межплатный с разъёмами (original)",450,1
249,34323,"Nokia N81, N81 8Гб - шлейф межплатный в сборе с видеокамерой и подклавиатурной платой (original)",1350,1
250,35648,"Nokia N85 - шлейф межплатный в сборе с подклавиатурной платой и джойстиком (original)",1500,1
251,35555,"Nokia N85 - шлейф соединительный с разъемами (original)",300,1
252,37882,"Nokia N86 - шлейф межплатный с разъемами и видеокамерой (original)",1100,1
253,37888,"Nokia N86 - шлейф соединительный с разъемами (original)",100,1
254,44186,"Nokia N900 - межплатный шлейф в сборе со средней частью, механизмом смещения (original), цвет: Black",1200,1
255,45664,"Nokia N9-00 - шлейф с датчиком приближения (original)",,1
256,45652,"Nokia N9-00 - шлейф с фронтальной камерой (original)",,1
257,35775,"Nokia N95 - шлейф в сборе с считывателем microSD карты и вспышкой видеокамеры (original)",550,1
258,33783,"Nokia N95 - шлейф межплатный в сборе с механизмом смещения (original)",2250,1
259,35785,"Nokia N95 - шлейф межплатный в сборе с механизмом смещения (original), цвет: Copper",2000,1
260,35761,"Nokia N95 8Гб - шлейф в сборе с считывателем microSD карты и вспышкой видеокамеры (original)",200,1
261,34677,"Nokia N95 8Гб - шлейф межплатный в сборе с механизмом смещения (original)",2500,1
262,35425,"Nokia N96 - шлейф межплатный в сборе с подклавиатурной платой и джойстиком (original) (Н.П.)",3600,1
263,37114,"Nokia N97 - шлейф межплатный в сборе с механизмом смещения (original), цвет: Black",1150,1
264,37117,"Nokia N97 - шлейф межплатный в сборе с механизмом смещения (original), цвет: White",1500,1
265,39385,"Nokia N97 Mini - шлейф межплатный в сборе с механизмом смещения (original), цвет: Black",3450,1
266,39387,"Nokia N97 Mini - шлейф межплатный в сборе с механизмом смещения (original), цвет: Garnet",2050,1
267,39389,"Nokia N97 Mini - шлейф межплатный в сборе с механизмом смещения (original), цвет: White",1500,1
268,39365,"Nokia X3 - шлейф межплатный в сборе с подклавиатурной платой (original)",450,1
269,27234,"Nokia 6600, 6670(D370), 7610, N-Gage QD - процессор (original)",650,1
270,33809,"Nokia 3110 Сlassic, 5200, 5300, 6125, 6300 - микросхема памяти (SEC 607 SF75, original)",200,1
271,33830,"Nokia 3220, 6021, 6103, 7260 - микросхема памяти FLASH (D3000, M36L0R704, original)",200,1
272,29555,"Nokia 3230, 6233 - микросхема памяти (D461, original)",150,1
273,33803,"Nokia 6085, 6131, 7373 - микросхема памяти (NS256NDOAJW73, original)",50,1
274,33823,"Nokia 6151, 6230i, 6280, 7610, N95 - микросхема памяти (SEC 638 KG75, original)",50,1
275,29554,"Nokia 6260, 6681, N-Gage QD, N70 - микросхема памяти  FLASH (D642, FLASH 4MX16, original)",100,1
276,33814,"Nokia 9500 - микросхема памяти FLASH (NS032JOLBJWOO, original)",50,1
277,45705,"Nokia 300 Asha - микросхема Bluetooth (BC7-FM BTHFMRDS3.0a, original)",,1
278,45924,"Nokia 303 Asha - микросхема Bluetooth (BT, FM BOB1.0M-a LGA130 MASTER, original)",650,1
279,43249,"Nokia 5228, 5230 XpressMusic, 5235 - микросхема Bluetooth (BCM2048B0KUBGT BTHFMRDS2.2, original)",50,1
280,41869,"Nokia 5800 - микросхема Bluetooth (BTHFMRDS2.1M ES5.5 LGA36 Non filter, original)",300,1
281,41851,"Nokia 6700 - микросхема Bluetooth (BTHFMRDS2.3M ES3 Module with filter, original)",350,1
282,45732,"Nokia 700 - микросхема Bluetooth (BT, FM BOB1.0M-b RFMD, original)",,1
283,45972,"Nokia 710 Lumia - микросхема Bluetooth (BT, FM BOB1.0M-a LGA130 MASTER, original)",650,1
284,44578,"Nokia C2-01 - микросхема Bluetooth (BC7-FM BTHFMRDS3.0a, original)",,1
285,43193,"Nokia C3-00, C3-01 Touch and Type - микросхема Bluetooth (BT, FM BOB1.0M-a LGA130 MASTER, original)",650,1
286,44265,"Nokia C6-01 - микросхема Bluetooth (BOB1.0M-b WLAN-BT-FM LGA108, original)",900,1
287,45876,"Nokia C7-00, C7-00s Oro - микросхема Bluetooth (BT, FM BOB1.0M-b RFMD, original)",,1
288,45139,"Nokia E6-00 - микросхема Bluetooth (BT, FM BOB1.0M-b RFMD, original)",,1
289,44622,"Nokia E7-00 - микросхема Bluetooth (BOB1.0M-b WLAN-BT-FM LGA108, original)",900,1
290,41852,"Nokia N78, N96 - микросхема Bluetooth (BTHFMRDS2.0M ESA16 Balun only. LGA48, original)",400,1
291,41853,"Nokia N85 - микросхема Bluetooth (BTHFMRDS2.1M ES5.5 LGA36 Non filter, original)",300,1
292,43161,"Nokia X2-00 - микросхема Bluetooth (BL6450 BTHFMRDS3.0 WLCSP56 MASTER, original)",50,1
293,44979,"Nokia X7-00 - микросхема Bluetooth (BT, FM BOB1.0M-b RFMD, original)",,1
294,41855,"Nokia 5310 - микросхема управления радиотрактом (MCM RF9009E1.1 10x10.25x1.2 Silver, original)",350,1
